id,domain,meta-action,total-refinement-time,valid-refinements,already-valid,succeded,state-space-search-time,stackelberg-output-parsing,initial-refinement-possibilities,final-refinement-possibilities
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,child-snack,$meta_at_0,28643,1,True,True,0,0,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,depots,$meta_lifting_0,1863389,0,False,False,1757132,7,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,depots,$meta_at_8,2565782,0,False,False,2494632,2,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,depots,$meta_on_0,2274955,0,False,False,2160378,4,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,depots,$meta_on_7,2205701,0,False,False,2152400,104,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,depots,$meta_on_18,2590653,0,False,False,2464428,1,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,depots,$meta_available_0,2488264,0,False,False,2300822,2,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,depots,$meta_available_6,2380497,0,False,False,2301191,4,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,depots,$meta_at_9,1876184,0,False,False,1823974,4,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,depots,$meta_at_10,2910533,0,False,False,2741969,3,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,depots,$meta_on_9,2313981,0,False,False,2243782,5,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,depots,$meta_clear_9,2237926,0,False,False,2190669,8,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,depots,$meta_on_12,2532328,0,False,False,2471130,2,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,depots,$meta_available_7,2026048,0,False,False,1757864,4,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,depots,$meta_available_6,2443782,0,False,False,2366625,4,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,depots,$meta_at_10,2753867,0,False,False,2586338,3,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,depots,$meta_available_8,2154602,0,False,False,2108452,4,0,0
